Business Name,Address,Place ID,Category Query,City
Jasper Winery,"2400 George Flagg Pkwy, Des Moines, IA 50321, United States",ChIJ59xlb8aY7ocRiANr8xlPP9M,winery,"Altoona, IA"
Summerset Winery,"15101 Fairfax St, Indianola, IA 50125, United States",ChIJLRp_pbe77ocRxDluYhF9NM8,winery,"Altoona, IA"
Prairie Moon Winery,"3801 W 190th St, Ames, IA 50014, United States",ChIJJTM9Nch27ocRtbrG7HfPgF8,winery,"Altoona, IA"
Fireside Winery,"1755 P Ave, Marengo, IA 52301, United States",ChIJXxoyFEil5YcR2wlo6gFPTLE,winery,"Altoona, IA"
The Cellar Winery,"2183 320th St, Madrid, IA 50156, United States",ChIJKxA7JrCJ7ocRiOJk0xPsQNM,winery,"Altoona, IA"
Vines to Wines,"684 20th St, Des Moines, IA 50314, United States",ChIJifTDMCKZ7ocRbX4iJD-jv3w,winery,"Altoona, IA"
Tassel Ridge Winery,"1681 220th St, Leighton, IA 50143, United States",ChIJ8X4lu4NJ74cROOteYVT_rY0,winery,"Altoona, IA"
Plum Creek Winery,"2306 160th Ave, Algona, IA 50511, United States",ChIJIWLD51RL8ocRng5VeLFfrwg,winery,"Altoona, IA"
Brick & Ivy Rooftop,"400 34th Ave SW, Altoona, IA 50009, United States",ChIJ3SBv7BaR7ocRoYJ_V4prDsk,winery,"Altoona, IA"
Little Swan Lake Winery,"1350 320th Ave, Estherville, IA 51334, United States",ChIJDZXzQTZJ84cRDJ7WVMTQv68,winery,"Altoona, IA"
Oak Spring Winery,"2401 E Pleasant Valley Blvd, Altoona, PA 16601, United States",ChIJpTOl3neOy4kRS6TdKzvzis8,winery,"Altoona, IA"
